reference_id,trade_date,time_of_trade,underlying,expiration_date,strike_price,trade_type,open_interest,ind,exchange_code,spread,premium_price,trade_size,bid_size,bid_price,ask_price,ask_size,edge,lean_size,size_ratio,trade_count,delta,theta,vega,gamma,sigma,rho
280361573,2018-02-12,11:02:53:402000,MON,2018-03-16,135,P,0,AUTOX,Z,0.9,13.9,1,16,13,13.9,175,100,175,90.86,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361574,2018-02-12,11:02:53:402000,MON,2018-03-16,135,P,0,AUTOX,X,0.9,13.9,1,16,13,13.9,175,100,175,90.86,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361575,2018-02-12,11:02:53:402000,MON,2018-03-16,135,P,0,AUTOX,Q,0.9,13.9,1,16,13,13.9,173,100,173,90.75,35,-0.905,-9.307,6.04,0.017,0.28,-10.91
280361631,2018-02-12,11:02:54:758000,TSLA,2019-01-18,300,C,4935,AUTOX,X,1.5,59.45,61,196,57.95,59.45,350,100,350,44,21,0.622,-27.461,114.499,0.003,0.442,126.605
280361632,2018-02-12,11:02:54:760000,TSLA,2019-01-18,300,C,4935,AUTOX,T,1.5,59.45,15,165,57.95,59.45,288,100,288,42.71,21,0.622,-27.461,114.499,0.003,0.442,126.605
280366970,2018-02-12,11:04:55:273000,AMZN,2018-02-23,1350,P,532,AUTOX,H,1.9,21.9,3,1,20,21.9,395,100,395,99.75,87,-0.344,-531.413,88.961,0.004,0.366,-15.184
280366971,2018-02-12,11:04:55:273000,AMZN,2018-02-23,1350,P,532,AUTOX,T,1.9,21.9,2,1,20,21.9,393,100,393,99.75,87,-0.344,-531.413,88.961,0.004,0.366,-15.184
280367347,2018-02-12,11:05:04:259000,AMZN,2018-02-16,1385,C,132,REG,M,2.05,25.95,1,12,23.9,25.95,165,100,165,92.73,212,0.336,-1038.527,53.297,0.006,0.452,5.128
280370926,2018-02-12,11:06:31:782000,TQQQ,2018-02-16,143.5,P,0,AUTOX,T,3.7,8.5,5,613,4.8,8.5,1461,100,1461,58.04,4,-0.527,-244.816,6.034,0.028,0.928,-0.929
280370927,2018-02-12,11:06:31:783000,TQQQ,2018-02-16,143.5,P,0,AUTOX,J,3.6,8.4,5,851,4.8,8.4,486,100,486,-75.1,4,-0.527,-244.816,6.034,0.028,0.928,-0.929
